#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T10:30:42.969961259Z,128.46,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T10:36:03.693700743Z,128.52,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T10:41:24.415462499Z,128.33,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T10:46:45.456648433Z,128.36,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T10:52:06.499784165Z,128.42,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T10:57:27.275604765Z,128.47,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:02:47.946336564Z,128.51,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:08:08.668845574Z,128.42,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:13:29.544874145Z,128.28,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:18:50.11590553Z,128.32,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:24:10.704294421Z,128.27,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
